,zipcode,salesforceurl,googleplexurl,stanfordurl,incomebyzipcodeurl,walkscoreurl,traveltimetostanford,traveltimetogoogleplex,traveltimetosf,medianhouseholdincome,averagehouseholdincome,percapitaincome,highincomehouseholds,walk,bike,transit,failedwalkscores,conveniencescore,shortest_travel
99,95037,"https://www.google.com/maps/dir/95037/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/95037/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/95037/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/95037,https://www.walkscore.com/CA/95037,85,79,113,120864,153515,52449,25,0,0,0,https://www.walkscore.com/CA/95037,0,79
100,95002,"https://www.google.com/maps/dir/95002/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/95002/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/95002/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/95002,https://www.walkscore.com/CA/95002,16,10,45,91667,115557,32310,14,51,21,64,,64,10
101,95113,"https://www.google.com/maps/dir/95113/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/95113/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/95113/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/95113,https://www.walkscore.com/CA/95113,20,14,49,122120,160292,93662,30,91,76,92,,92,14
102,94404,"https://www.google.com/maps/dir/94404/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94404/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94404/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94404,https://www.walkscore.com/CA/94404,22,21,32,143109,173154,68486,33,59,0,0,https://www.walkscore.com/CA/94404,59,21
103,94402,"https://www.google.com/maps/dir/94402/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94402/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94402/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94402,https://www.walkscore.com/CA/94402,17,21,29,155078,209903,79560,38,39,29,30,,39,17
104,94401,"https://www.google.com/maps/dir/94401/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94401/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94401/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94401,https://www.walkscore.com/CA/94401,20,19,25,89176,119222,43426,17,60,23,74,,74,19
105,94403,"https://www.google.com/maps/dir/94403/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94403/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94403/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94403,https://www.walkscore.com/CA/94403,18,18,29,123968,159731,60951,28,84,49,62,,84,18
106,94010,"https://www.google.com/maps/dir/94010/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94010/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94010/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94010,https://www.walkscore.com/CA/94010,21,25,27,144281,235979,89944,38,4,0,0,https://www.walkscore.com/CA/94010,4,21
107,94002,"https://www.google.com/maps/dir/94002/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94002/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94002/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94002,https://www.walkscore.com/CA/94002,18,17,31,134529,181171,70269,33,45,0,0,https://www.walkscore.com/CA/94002,45,17
108,94536,"https://www.google.com/maps/dir/94536/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94536/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94536/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94536,https://www.walkscore.com/CA/94536,23,23,35,116609,136107,46643,21,38,40,70,,70,23
109,94538,"https://www.google.com/maps/dir/94538/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94538/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94538/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94538,https://www.walkscore.com/CA/94538,22,15,37,106139,123361,41897,15,37,32,63,,63,15
110,94539,"https://www.google.com/maps/dir/94539/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94539/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94539/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94539,https://www.walkscore.com/CA/94539,27,20,42,170358,196616,61948,40,10,28,8,,28,20
111,94560,"https://www.google.com/maps/dir/94560/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94560/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94560/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94560,https://www.walkscore.com/CA/94560,22,22,36,108181,126240,39107,15,13,0,0,https://www.walkscore.com/CA/94560,13,22
112,94089,"https://www.google.com/maps/dir/94089/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94089/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94089/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94089,https://www.walkscore.com/CA/94089,13,7,43,112750,139625,52528,22,32,46,60,,60,7
113,94085,"https://www.google.com/maps/dir/94085/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94085/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94085/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94085,https://www.walkscore.com/CA/94085,14,8,44,116332,148129,54547,24,73,38,78,,78,8
114,94086,"https://www.google.com/maps/dir/94086/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94086/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94086/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94086,https://www.walkscore.com/CA/94086,16,9,45,129112,158235,63667,28,47,46,0,https://www.walkscore.com/CA/94086,47,9
115,94087,"https://www.google.com/maps/dir/94087/Salesforce+Tower,+415+Mission+St,+San+Francisco,+CA+94105/","https://www.google.com/maps/dir/94087/Googleplex,+1600+Amphitheatre+Pkwy,+Mountain+View,+CA+94043/","https://www.google.com/maps/dir/94087/Stanford+University,+450+Serra+Mall,+Stanford,+CA+94305/",https://www.incomebyzipcode.com/california/94087,https://www.walkscore.com/CA/94087,15,12,47,153036,195474,69982,36,50,34,73,,73,12
