,PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,shortesttime,BEDS,BATHS,medianhouseholdincome,averagehouseholdincome,percapitaincome,highincomehouseholds,walk,price/psf,differential
36,Townhouse,88 King St #115,San Francisco,94107,1599000,1492,,2000,18,2.0,2.5,150451,193007,93088,38.4%,92,1071.71581769437,204909.23527338426
37,Condo/Co-op,950 Tennessee St #110,San Francisco,94107,1430000,1160,,2020,18,2.0,2.0,150451,193007,93088,38.4%,92,1232.7586206896551,392427.713210508
38,Single Family Residential,615 Missouri St,San Francisco,94107,3395000,1990,1873.0,1925,18,3.0,2.0,150451,193007,93088,38.4%,92,1706.0301507537688,1786751.971708328
39,Condo/Co-op,1015 Ashbury St #1,San Francisco,94117,1798000,1884,,1913,23,2.0,2.0,152071,201503,86117,35.2%,94,954.3524416135881,210833.37872937368
40,Single Family Residential,234 Laussat St,San Francisco,94117,1475000,1555,1125.0,1890,23,2.0,2.0,152071,201503,86117,35.2%,94,948.5530546623794,190443.4876484205
41,Condo/Co-op,137 Pierce St,San Francisco,94117,1399000,1750,,1909,23,3.0,1.5,152071,201503,86117,35.2%,94,799.4285714285714,156976.64597364934
42,Condo/Co-op,1566 Fell St,San Francisco,94117,1196000,1154,,1894,23,2.0,1.5,152071,201503,86117,35.2%,94,1036.3951473136915,333562.50109676993
43,Single Family Residential,714 Steiner St,San Francisco,94117,2750000,2849,1742.0,1900,23,4.0,2.5,152071,201503,86117,35.2%,94,965.2509652509652,558232.5945337825
44,Condo/Co-op,9 Alpine Ter,San Francisco,94117,1945000,1515,,1927,23,3.0,2.0,152071,201503,86117,35.2%,94,1283.828382838284,853145.1778641283
45,Condo/Co-op,668 672A Waller St #672,San Francisco,94117,995000,995,,1923,23,2.0,1.0,152071,201503,86117,35.2%,94,1000.0,330548.8716912868
46,Single Family Residential,259 Wilson St,SAN FRANCISCO,94112,899000,880,2495.0,1914,28,2.0,1.0,89355,115728,34344,14.6%,92,1021.5909090909091,426728.173034688
47,Single Family Residential,53 Miramar Ave,San Francisco,94112,899000,1440,2809.0,1907,28,3.0,1.5,89355,115728,34344,14.6%,92,624.3055555555555,24572.805458232528
48,Single Family Residential,178 Brighton Ave,SAN FRANCISCO,94112,1495000,2809,2809.0,1967,28,3.0,4.0,89355,115728,34344,14.6%,92,532.2178711285155,-928815.4242856395
49,Single Family Residential,166 Staples Ave,San Francisco,94112,1095000,902,2809.0,1924,28,2.0,2.0,89355,115728,34344,14.6%,92,1213.968957871397,482068.0455718462
50,Single Family Residential,119 Otsego Ave,San Francisco,94112,1450000,2771,4625.0,1913,28,4.0,3.0,89355,115728,34344,14.6%,92,523.276795380729,-646733.1861917009
51,Single Family Residential,128 Tara St,San Francisco,94112,948000,1002,2587.0,1938,28,2.0,1.0,89355,115728,34344,14.6%,92,946.1077844311377,360558.3829905824
52,Multi-Family (2-4 Unit),523-525 Munich St,San Francisco,94112,1578000,2300,2500.0,1900,28,4.0,4.0,89355,115728,34344,14.6%,92,686.0869565217391,-208128.4030343173
53,Condo/Co-op,523-525 Munich St #525,San Francisco,94112,829000,1087,,1900,28,2.0,2.0,89355,115728,34344,14.6%,92,762.6494940202392,52963.29828508617
54,Single Family Residential,50 Mirando Way,San Francisco,94112,1495000,1865,1925.0,1965,28,4.0,3.0,89355,115728,34344,14.6%,92,801.6085790884719,209559.52231606888
55,Single Family Residential,48 Navajo Ave,San Francisco,94112,949000,1165,2495.0,1931,28,2.0,1.0,89355,115728,34344,14.6%,92,814.5922746781116,215147.33981548436
56,Single Family Residential,373 Baltimore Way,San Francisco,94112,1095000,1588,2866.0,1960,28,3.0,2.0,89355,115728,34344,14.6%,92,689.5465994962217,16891.35543144238
57,Single Family Residential,2645 San Jose Ave,SAN FRANCISCO,94112,1388000,2337,2500.0,1923,28,3.0,2.0,89355,115728,34344,14.6%,92,593.9238339751819,-361957.27370267455
58,Single Family Residential,61 Edgar Pl,San Francisco,94112,988000,1324,2809.0,1923,28,3.0,2.0,89355,115728,34344,14.6%,92,746.2235649546827,156258.05631741323
