SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1772 Sanchez St,San Francisco,CA,94131,1175000,2,1.0,Glen Park,1060,,1903,5,1108,265,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/1772-Sanchez-St-94131/home/17395469,San Francisco MLS,493133,N,Y,37.740729,-122.429026
MLS Listing,,Single Family Residential,63 Sunview Dr,San Francisco,CA,94131,1695000,3,2.5,Midtown Terrace,,2949,1956,5,,,Active,January-23-2020 05:30 PM,January-23-2020 07:00 PM,http://www.redfin.com/CA/San-Francisco/63-Sunview-Dr-94131/home/1120553,San Francisco MLS,493798,N,Y,37.7473506,-122.4460824
MLS Listing,,Condo/Co-op,488 Folsom St #4006,San Francisco,CA,94105,2150000,2,2.0,South Beach,1142,,2019,5,1883,1633,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/488-Folsom-St-94105/unit-4006/home/169571682,San Francisco MLS,493852,N,Y,37.7875077,-122.3944713
MLS Listing,,Condo/Co-op,488 Folsom #4701,San Francisco,CA,94105,4295000,3,3.0,South Beach,2159,,2019,5,1989,1908,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/488-Folsom-St-94105/unit-4701/home/169571714,San Francisco MLS,493851,N,Y,37.7875077,-122.3944713
MLS Listing,,Condo/Co-op,51 Innes Ct #306,San Francisco,CA,94124,799000,2,2.0,Hunters Point,1180,,2017,5,677,576,Active,January-26-2020 02:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/51-Innes-Ct-94124/unit-306/home/145666155,San Francisco MLS,493850,N,Y,37.7272117,-122.367848
MLS Listing,,Single Family Residential,128 Tara St,San Francisco,CA,94112,948000,2,1.0,Ingleside,1002,2587,1938,5,946,,Active,,,http://www.redfin.com/CA/San-Francisco/128-Tara-St-94112/home/819349,San Francisco MLS,493832,N,Y,37.7210587,-122.4489023
MLS Listing,,Condo/Co-op,488 Folsom St #3703,San Francisco,CA,94105,1825000,1,1.5,South Beach,916,,2019,5,1992,1572,Active,January-25-2020 02:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/488-Folsom-St-94105/unit-3703/home/166736707,San Francisco MLS,493848,N,Y,37.7875077,-122.3944713
MLS Listing,,Condo/Co-op,1612 Dolores St,San Francisco,CA,94110,1695000,3,2.0,Noe Valley,,,,5,,,Active,,,http://www.redfin.com/CA/San-Francisco/1612-Dolores-St-94110/home/169223121,San Francisco MLS,493842,N,Y,37.7435548,-122.4245904
MLS Listing,,Multi-Family (5+ Unit),99 Jersey St,San Francisco,CA,94114,6900000,,,Noe Valley,8539,,1927,5,808,,Active,,,http://www.redfin.com/CA/San-Francisco/99-Jersey-St-94114/home/1318898,San Francisco MLS,493341,N,Y,37.7507685,-122.4270211
MLS Listing,,Condo/Co-op,1332 Scott St Unit B,San Francisco,CA,94115,649000,1,1.0,Western Addition,709,,1986,5,915,514,Active,January-23-2020 06:00 PM,January-23-2020 07:00 PM,http://www.redfin.com/CA/San-Francisco/1332-Scott-St-94115/unit-B/home/170336964,San Francisco MLS,493840,N,Y,37.7821502,-122.4375174
MLS Listing,,Single Family Residential,1530 Eucalyptus Dr,San Francisco,CA,94132,1329950,0,1.0,Lakeshore,1213,2552,1950,5,1096,,Active,,,http://www.redfin.com/CA/San-Francisco/1530-Eucalyptus-Dr-94132/home/1962319,Bridge MLS,40892681,N,Y,37.7310337,-122.4876091
MLS Listing,,Condo/Co-op,1610 Dolores St,San Francisco,CA,94110,1595000,3,2.0,Noe Valley,,,,5,,,Active,,,http://www.redfin.com/CA/San-Francisco/1610-Dolores-St-94110/home/169223077,San Francisco MLS,493839,N,Y,37.743507,-122.4245601
MLS Listing,,Condo/Co-op,1608 Dolores St,San Francisco,CA,94110,1395000,2,2.0,Noe Valley,,,,5,,,Active,,,http://www.redfin.com/CA/San-Francisco/1608-Dolores-St-94110/home/1114934,San Francisco MLS,493837,N,Y,37.743514,-122.424763
MLS Listing,,Multi-Family (2-4 Unit),523-525 Munich St,San Francisco,CA,94112,1578000,4,4.0,Excelsior,2300,2500,1900,5,686,,Active,,,http://www.redfin.com/CA/San-Francisco/523-Munich-St-94112/home/788196,San Francisco MLS,493833,N,Y,37.7172515,-122.429228
MLS Listing,,Condo/Co-op,523-525 Munich St #525,San Francisco,CA,94112,829000,2,2.0,Excelsior,1087,,1900,5,763,300,Active,,,http://www.redfin.com/CA/San-Francisco/523-Munich-St-94112/unit-525/home/169225605,San Francisco MLS,493834,N,Y,37.7172515,-122.429228
