SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,,Oakland,CA,94603,159000,,,Oakland,,7183,,71,,,Active,,,http://www.redfin.com/CA/Oakland/Undisclosed-address-94611/home/22662147,Bridge MLS,40888716,N,Y,37.836672,-122.215458
MLS Listing,,Single Family Residential,7601 Hillside St,Oakland,CA,94605,438000,3,1.0,Eastmont,888,2470,1926,71,493,,Active,,,http://www.redfin.com/CA/Oakland/7601-Hillside-St-94605/home/1801073,Bridge MLS,40888713,N,Y,37.7664131,-122.1717889
MLS Listing,,Single Family Residential,1207 51St Ave,Oakland,CA,94601,425000,2,1.0,Melrose,1053,5500,1905,74,404,,Active,,,http://www.redfin.com/CA/Oakland/1207-51st-Ave-94601/home/1563633,Bridge MLS,40888573,N,Y,37.7674961,-122.2098327
MLS Listing,,Condo/Co-op,567 Oakland Ave #313,Oakland,CA,94611,458999,1,1.0,Piedmont Avenue,705,,1970,75,651,355,Active,January-25-2020 02:00 PM,January-25-2020 04:30 PM,http://www.redfin.com/CA/Oakland/567-Oakland-Ave-94611/unit-313/home/1361568,Bridge MLS,40888514,N,Y,37.8205742,-122.2518293
MLS Listing,,Single Family Residential,2100 Arrowhead,Oakland,CA,94611-1558,1250000,4,2.5,Oakland Hills,3317,7412,2005,75,377,,Active,,,http://www.redfin.com/CA/Oakland/2100-Arrowhead-Dr-94611/home/12110851,Bridge MLS,40888469,N,Y,37.8367938,-122.1910786
MLS Listing,,Multi-Family (2-4 Unit),3044 Blossom St,Oakland,CA,94601,799000,3,3.0,Oakland,2401,6534,,76,333,,Active,,,http://www.redfin.com/CA/Oakland/3044-Blossom-St-94601/home/1702103,Bridge MLS,40888391,N,Y,37.789737,-122.2213585
MLS Listing,,Single Family Residential,4649 Fieldbrook Rd,OAKLAND,CA,94619,1098000,3,2.0,OAKLAND,1752,6000,1948,76,627,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/Oakland/4649-Fieldbrook-Rd-94619/home/1962943,MLSListings,ML81774819,N,Y,37.7952879,-122.1807912
MLS Listing,,Single Family Residential,6880 Buckingham Blvd,Berkeley,CA,94705,1599000,5,3.5,Claremont Hills,3550,5060,2018,77,450,,Active,,,http://www.redfin.com/CA/Berkeley/6880-Buckingham-Blvd-94705/home/17518431,Bridge MLS,40888209,N,Y,37.8576076,-122.2246977
MLS Listing,,Multi-Family (2-4 Unit),2301 23rd Ave,OAKLAND,CA,94606,1298888,6,,OAKLAND,4465,5353,1993,77,291,,Active,,,http://www.redfin.com/CA/Oakland/2301-23rd-Ave-94606/home/161172076,MLSListings,ML81774755,N,Y,37.7904594,-122.2302236
MLS Listing,,Multi-Family (2-4 Unit),1050 37th St,Oakland,CA,94608,849000,4,2.0,Oakland,1596,3340,1922,79,532,,Active,,,http://www.redfin.com/CA/Oakland/1050-37th-St-94608/home/1726597,Bridge MLS,40888042,N,Y,37.8277419,-122.277736
MLS Listing,,Condo/Co-op,2901 Macarthur Blvd #307,Oakland,CA,94602,450000,2,1.0,Diamond District,903,16964,1991,81,498,575,Active,,,http://www.redfin.com/CA/Oakland/2901-MacArthur-Blvd-94602/unit-307/home/772406,Bridge MLS,40887943,N,Y,37.7978522,-122.20675
MLS Listing,,Vacant Land,6059 Girvin Dr,Oakland,CA,94611,219000,,,Montclair,,8434,,81,,,Active,,,http://www.redfin.com/CA/Oakland/6059-Girvin-Dr-94611/home/147298995,Bridge MLS,40887937,N,Y,37.8259157,-122.1955054
MLS Listing,,Vacant Land,6591 Exeter,Oakland,CA,94611,109000,,,Montclair,,6685,,81,,,Active,,,http://www.redfin.com/CA/Oakland/6591-Exeter-Dr-94611/home/169641773,Bridge MLS,40887936,N,Y,37.8285762,-122.1894845
MLS Listing,,Vacant Land,6593 Exeter,Oakland,CA,94611,109000,,,Montclair,,8455,,81,,,Active,,,http://www.redfin.com/CA/Oakland/6593-Exeter-Dr-94611/home/169641772,Bridge MLS,40887934,N,Y,37.828568,-122.1894241
MLS Listing,,Single Family Residential,2388 103Rd Ave,Oakland,CA,94603,460000,2,1.0,Oakland,921,3614,1948,82,499,,Active,,,http://www.redfin.com/CA/Oakland/2388-103rd-Ave-94603/home/1277832,Bridge MLS,40887895,N,Y,37.744223,-122.154862
MLS Listing,,Multi-Family (2-4 Unit),2869 38th Ave,OAKLAND,CA,94619,1500000,7,,OAKLAND,2224,6000,1915,82,674,,Active,,,http://www.redfin.com/CA/Oakland/2869-38th-Ave-94619/home/22966925,MLSListings,ML81774423,N,Y,37.787151,-122.204531
MLS Listing,,Vacant Land,6933 Balsam Way,Oakland,CA,94603,89000,,,Montclair,,10318,,85,,,Active,,,http://www.redfin.com/CA/Oakland/6933-Balsam-Way-94611/home/62495776,Bridge MLS,40887363,N,Y,37.8495778,-122.2100235
MLS Listing,,Vacant Land,6931 Balsam Way,Oakland,CA,94603,89000,,,Montclair,,9050,,85,,,Active,,,http://www.redfin.com/CA/Oakland/6931-Balsam-Way-94611/home/62495962,Bridge MLS,40887362,N,Y,37.8496604,-122.2100255
MLS Listing,,Vacant Land,7001 Balsam Way,Oakland,CA,94603,119500,,,Oakland,,10128,,85,,,Active,,,http://www.redfin.com/CA/Oakland/7001-Balsam-Way-94611/home/77304851,Bridge MLS,40887360,N,Y,37.8492563,-122.2095653
MLS Listing,,Single Family Residential,2100 108th Ave,Oakland,CA,94603,699900,4,3.0,Oakland,1711,5050,1936,86,409,,Active,,,http://www.redfin.com/CA/Oakland/2100-108th-Ave-94603/home/1872254,CRMLS,OC19252571,N,Y,37.7396103,-122.157641
MLS Listing,,Vacant Land,0 Zinn,Oakland,CA,94603,48250,,,Oakland,,8863,,86,,,Active,,,http://www.redfin.com/CA/Oakland/Zinn-Dr-94611/home/22646404,Bridge MLS,40887313,N,Y,37.830509,-122.202837
MLS Listing,,Single Family Residential,10633 PEARMAIN St,Oakland,CA,94603,450000,3,2.0,Oakland,1048,3800,1926,86,429,,Active,,,http://www.redfin.com/CA/Oakland/10633-Pearmain-St-94603/home/1727606,Bridge MLS,40887307,N,Y,37.7335425,-122.1757358
MLS Listing,,Single Family Residential,1134 87th Ave,Oakland,CA,94621,299000,1,1.0,Oakland,690,2725,1924,88,433,,Active,,,http://www.redfin.com/CA/Oakland/1134-87th-Ave-94621/home/1995372,Bridge MLS,40887253,N,Y,37.7496631,-122.1801593
MLS Listing,,Condo/Co-op,244 Lakeside Dr #401,Oakland,CA,94612,1295000,3,3.0,Lake Merritt,2685,,1926,88,482,1946,Active,January-23-2020 02:00 PM,January-23-2020 04:00 PM,http://www.redfin.com/CA/Oakland/244-Lakeside-Dr-94612/unit-401/home/40086778,Bridge MLS,40887233,N,Y,37.8064709,-122.2634834
MLS Listing,,Condo/Co-op,5 Embarcadero #127,Oakland,CA,94607,669000,2,2.0,Jack London Sq,1031,,1974,89,649,871,Active,,,http://www.redfin.com/CA/Oakland/5-Embarcadero-W-94607/unit-127/home/1352177,Bridge MLS,40887193,N,Y,37.7912743,-122.2685284
MLS Listing,,Condo/Co-op,2233 Myrtle St,Oakland,CA,94607,699990,2,2.5,West Oak,1235,,2020,89,567,200,Active,,,http://www.redfin.com/CA/Oakland/2233-Myrtle-St-94607/home/169568791,Bridge MLS,40887130,N,Y,37.8150148,-122.2797025
MLS Listing,,Single Family Residential,2726 60Th Ave,Oakland,CA,94605,649888,3,2.0,Seminary,1905,4400,1922,89,341,,Active,,,http://www.redfin.com/CA/Oakland/2726-60th-Ave-94605/home/1363222,Bridge MLS,40887113,N,Y,37.7720382,-122.1878417
MLS Listing,,Single Family Residential,669 Catron Dr,Oakland,CA,94603,535000,5,2.0,El Sobrante Park,2055,4240,1944,90,260,,Active,,,http://www.redfin.com/CA/Oakland/669-Catron-Dr-94603/home/1290037,Bridge MLS,40887020,N,Y,37.7284085,-122.1720107
MLS Listing,,Single Family Residential,1014 54th St,OAKLAND,CA,94608,970000,3,1.0,OAKLAND,1171,5000,1923,90,828,,Active,,,http://www.redfin.com/CA/Oakland/1014-54th-St-94608/home/1756666,MLSListings,ML81773619,N,Y,37.8383957,-122.2784813
MLS Listing,,Single Family Residential,1776 Gaspar Dr,OAKLAND,CA,94611,1850000,4,4.5,OAKLAND,2233,7914,2019,90,828,,Active,,,http://www.redfin.com/CA/Oakland/1776-Gaspar-Dr-94611/home/22679271,MLSListings,ML81773607,N,Y,37.8316645,-122.2098536
MLS Listing,,Single Family Residential,1538 50Th Ave,Oakland,CA,94601,499000,3,2.0,Melrose,1134,3364,1905,91,440,,Active,,,http://www.redfin.com/CA/Oakland/1538-50th-Ave-94601/home/1744379,Bridge MLS,40886907,N,Y,37.7710435,-122.207339
MLS Listing,,Vacant Land,2907 Jordan Rd,Oakland,CA,94602,165000,,,Oakland,,7910,,91,,,Active,,,http://www.redfin.com/CA/Oakland/2907-Jordan-Rd-94602/home/21962762,Bridge MLS,40886900,N,Y,37.805777,-122.196375
MLS Listing,,Vacant Land,Thorndale Dr,Oakland,CA,94603,65000,,,Oakland,,7451,,91,,,Active,,,http://www.redfin.com/CA/Oakland/Thorndale-Dr-94611/home/22647846,Bridge MLS,40886898,N,Y,37.84595,-122.205122
MLS Listing,,Vacant Land,Crestmont Dr,Oakland,CA,94619,195000,,,Oakland,,15751,,91,,,Active,,,http://www.redfin.com/CA/Oakland/Crestmont-Dr-94619/home/22655987,Bridge MLS,40886836,N,Y,37.79912,-122.176942
MLS Listing,,Condo/Co-op,6501 San Pablo Ave #404,Oakland,CA,94608,675000,1,1.5,N Oakland,1010,,2006,91,668,571,Active,,,http://www.redfin.com/CA/Oakland/6501-San-Pablo-Ave-94608/unit-404/home/12116522,Bridge MLS,40886825,N,Y,37.8481886,-122.2857929
MLS Listing,,Single Family Residential,9 Maydon Ct,Oakland,CA,94605,855000,3,2.0,Grass Valley,1588,6955,1963,91,538,,Active,,,http://www.redfin.com/CA/Oakland/9-Maydon-Ct-94605/home/599199,Bridge MLS,40886754,N,Y,37.755035,-122.1203552
